#  see /rota/Analysis/PS/plot_relax_vs_p.m
#  P = 8.2, positive rotation
#  omega, rad/s    rel, 1/s
   0.0000000e+00   0.0000000e+00
   5.0000000e-01   1.9605200e-01
   1.0000000e+00   3.8961900e-01
   1.5000000e+00   5.3436800e-01

