## relaxation vs temperature ans omega
## constant radiation damping removed (102s)
## zero fork width got from 0 rad/s data fit

# omega  fork     relaxation
0.800000 280.920000 0.606529
0.800000 313.750000 0.569305
0.800000 363.550000 0.642190
0.800000 131.510000 0.278822
0.800000 242.690000 0.450795
0.800000 258.830000 0.483579
0.800000 131.510000 0.279585
0.800000 287.140000 0.526078
0.800000 213.950000 0.415161
0.800000 131.510000 0.234817
0.800000 37.840000 0.149838
0.800000 131.510000 0.238177
0.800000 138.860000 0.305992
0.800000 138.120000 0.299556
0.800000 34.680000 0.140280
0.800000 0.000000 0.167220
0.800000 34.680000 0.148407
0.800000 41.830000 0.146408
0.800000 0.000000 0.196666
0.800000 0.000000 0.195332
0.800000 74.540000 0.227376
0.800000 75.020000 0.225962
0.800000 230.420000 0.441633
0.800000 231.090000 0.446821
0.800000 85.970000 0.245426
0.800000 50.040000 0.195873
0.800000 87.090000 0.237755
0.800000 48.280000 0.187387
0.800000 72.500000 0.222367
0.800000 72.480000 0.220348
0.800000 58.310000 0.201945
0.800000 58.680000 0.203615
0.800000 53.460000 0.192884
0.800000 53.790000 0.196811
0.800000 45.190000 0.196232
0.800000 110.980000 0.276315
0.800000 159.970000 0.342790
0.800000 89.110000 0.254814
0.800000 161.260000 0.352635
0.800000 87.570000 0.246340
0.800000 111.340000 0.282554
0.800000 57.860000 0.207467
0.800000 63.560000 0.204034
0.800000 53.420000 0.192087
0.800000 72.860000 0.214445
0.800000 73.330000 0.212175
0.800000 53.280000 0.194077
1.000000 52.380000 0.215720
1.000000 117.830000 0.304943
1.000000 249.280000 0.514292
1.000000 149.360000 0.353881
1.000000 248.450000 0.523534
1.000000 366.220000 0.743554
1.000000 118.160000 0.309631
1.000000 262.910000 0.555008
1.000000 262.010000 0.544592
1.000000 87.220000 0.274271
1.000000 218.450000 0.470738
1.000000 325.470000 0.640108
1.000000 70.290000 0.242137
1.000000 87.590000 0.273372
1.240000 200.250000 0.540732
1.240000 201.620000 0.533978
1.240000 131.180000 0.415777
1.240000 95.260000 0.315949
1.240000 131.100000 0.409319
1.240000 84.970000 0.332410
1.240000 78.900000 0.310791
1.240000 250.400000 0.647662
1.240000 26.170000 0.223866
1.240000 41.550000 0.239515
1.240000 58.220000 0.268712
1.240000 59.780000 0.270568
1.240000 93.820000 0.341153
1.240000 32.330000 0.223733
1.630000 210.750000 0.665840
1.630000 183.820000 0.571093
1.630000 229.990000 0.674673
1.630000 46.850000 0.301003
1.630000 125.220000 0.478094
1.630000 68.660000 0.373661
1.630000 124.990000 0.472798
1.630000 120.860000 0.498800
1.630000 86.160000 0.394401
1.630000 65.450000 0.389867
1.630000 87.350000 0.441889
1.630000 56.310000 0.354526
1.630000 56.850000 0.367844
