#  see /rota/Analysis/PS/plot_relax_vs_p.m
#  P = 4.0, positive rotation
#  value corrected: (833166/826347)^4
#  omega, rad/s    rel, 1/s
   0.0000000e+00   0.0000000e+00
   1.0000000e+00   2.6544394e-01
