#  see /rota/Analysis/PS/plot_relax_vs_p.m
#  P = 0.5, positive rotation
#  omega, rad/s    rel, 1/s
0.0000000e+00   0.0000000e+00
2.0000000e-01   1.4948700e-02
4.0000000e-01   4.7063600e-02
6.0000000e-01   6.0751500e-02
8.0000000e-01   8.5542600e-02
1.0200000e+00   1.0852660e-01
1.2400000e+00   1.2491560e-01
1.6300000e+00   1.9523860e-01
