# see: /rota/Analysis/PS/osc2013_4bar/RelaxTemp/plot_20130613_f623_e2000_1rad.m
# 20130613, f = 623 kHz, Hmin=2000 mA, P=4.0 bar, 1 rad/s,
# f=625826
#  fork2w, mHz     rel, 1/s

   1.0447400e+03   2.1793045e+00
   8.1131000e+02   1.8198130e+00
   6.1015000e+02   1.9997680e+00
   4.5523000e+02   1.9077780e+00
   5.0717000e+02   1.8739752e+00
   5.5660000e+02   2.0354038e+00
   6.1263000e+02   1.9303864e+00
   6.8158000e+02   1.9046240e+00
   7.5856000e+02   1.6481823e+00
   8.4257000e+02   1.7664880e+00
   9.3461000e+02   1.9452263e+00
   1.0377800e+03   2.1049441e+00
   1.0923600e+03   2.2371565e+00
   1.0341900e+03   2.1017764e+00
   9.4982000e+02   1.9906519e+00
   8.6611000e+02   1.8294814e+00
   7.9895000e+02   1.7192440e+00
   7.5619000e+02   1.6623197e+00
   7.2474000e+02   1.8294780e+00
   6.7066000e+02   1.8878219e+00
   6.1021000e+02   1.9627355e+00
   5.5605000e+02   2.0938550e+00
   5.0211000e+02   1.9489872e+00
   4.6100000e+02   1.8788552e+00
   4.2015000e+02   1.7071780e+00
   3.7554000e+02   1.7181452e+00
   3.3305000e+02   1.5880099e+00
   3.1957000e+02   1.5375059e+00
   3.3437000e+02   1.5074294e+00
   3.0463000e+02   1.3997956e+00
   2.7346000e+02   1.2655392e+00
   2.4474000e+02   1.1793955e+00
   2.1982000e+02   1.0537830e+00
   1.9795000e+02   8.9350254e-01
   1.7879000e+02   8.3731196e-01
   1.5701000e+02   7.2467024e-01
   1.3754000e+02   7.4864308e-01
   1.2061000e+02   6.9732673e-01
   1.0622000e+02   5.6818537e-01
   9.6920000e+01   5.6585346e-01
   9.0630000e+01   5.6365719e-01
   8.5850000e+01   5.7734387e-01
