# see: /rota/Analysis/PS/osc2013_4bar/RelaxTemp/plot_20130613_f623_e2000_1rad.m
# 20130613, f = 623 kHz, Hmin=2000 mA, P=4.0 bar, 1 rad/s,
# f=625082
#  fork2w, mHz     rel, 1/s

   1.0430100e+03   2.0925011e+00
   8.1897000e+02   1.7378308e+00
   6.1793000e+02   1.4718566e+00
   4.5844000e+02   1.2583666e+00
   4.9548000e+02   1.2344887e+00
   5.2281000e+02   1.2815025e+00
   5.8298000e+02   1.3709372e+00
   6.4542000e+02   1.4429161e+00
   7.2069000e+02   1.5350207e+00
   8.0071000e+02   1.7352917e+00
   8.8763000e+02   1.8807315e+00
   9.8807000e+02   1.9806569e+00
   1.0913200e+03   2.1258955e+00
   1.0706700e+03   2.1597246e+00
   9.9264000e+02   2.0061509e+00
   9.0791000e+02   1.8480223e+00
   8.2497000e+02   1.7535707e+00
   7.7820000e+02   1.6374840e+00
   7.4022000e+02   1.6378755e+00
   6.9724000e+02   1.5186444e+00
   6.4149000e+02   1.4354781e+00
   5.8317000e+02   1.3496315e+00
   5.2903000e+02   1.2723132e+00
   4.7549000e+02   1.2057461e+00
   4.4334000e+02   1.1635402e+00
   3.9718000e+02   1.1095270e+00
   3.5288000e+02   9.7314698e-01
   3.2355000e+02   9.8726039e-01
   3.4011000e+02   9.7191931e-01
   3.2037000e+02   9.4053735e-01
   2.8824000e+02   9.4883592e-01
   2.5957000e+02   8.9189437e-01
   2.3160000e+02   8.4123604e-01
   2.0829000e+02   8.3744098e-01
   1.8806000e+02   8.0644446e-01
   1.6805000e+02   7.5775773e-01
   1.4678000e+02   7.7657598e-01
   1.2939000e+02   7.7441218e-01
   1.1290000e+02   7.2546513e-01
   1.0090000e+02   6.9635943e-01
   9.4030000e+01   7.0546289e-01
   8.8340000e+01   6.8548177e-01
   8.5520000e+01   7.1567207e-01
